year,bus,paratransit,rail
1988,430089500,435400,174436000
1989,420572700,924800,168658800
1990,421183734,930802,165732575
1991,392088602,949460,147608116
1992,370335119,1011669,137372830
1993,326655953,1167904,135369734
1994,331520700,1209900,143579100
1995,306075585,1270274,135461619
1996,302115116,1244209,142040486
1997,287628293,1235085,151010374
1998,290530719,1209756,153572705
1999,299058490,1199772,166477141
2000,302089554,1246516,176250504
2001,301690748,1437883,181692315
2002,303295027,1530391,180399630
2003,291804434,1803397,181135094
2004,294030775,2203730,178716456
2005,303244197,2401397,186759524
2006,298433228,1200685,195169310
2007,309271311,0,190272997
2008,328199225,0,198137245
2009,318672798,0,202569038
2010,306023976,0,210849081
2011,310373063,0,221587190
2012,314423578,0,231154339
2013,300116357,0,229116047
